"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","baseline_medianTPMAbd","baseline_prevalence","postFresh_medianTPMAbd","postFresh_prevalence","postPast_medianTPMAbd","postPast_prevalence","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","freshInt_ageLow_effect","freshInt_ageHigh_effect","freshInt_ageLow_se","freshInt_ageHigh_se","freshInt_ageLow_pvalue","freshInt_ageHigh_pvalue","freshInt_sexM_effect","freshInt_sexW_effect","freshInt_sexM_se","freshInt_sexW_se","freshInt_sexM_pvalue","freshInt_sexW_pvalue","freshInt_bmiLow_effect","freshInt_bmiHigh_effect","freshInt_bmiLow_se","freshInt_bmiHigh_se","freshInt_bmiLow_pvalue","freshInt_bmiHigh_pvalue","pastInt_ageLow_effect","pastInt_ageHigh_effect","pastInt_ageLow_se","pastInt_ageHigh_se","pastInt_ageLow_pvalue","pastInt_ageHigh_pvalue","pastInt_sexM_effect","pastInt_sexW_effect","pastInt_sexM_se","pastInt_sexW_se","pastInt_sexM_pvalue","pastInt_sexW_pvalue","pastInt_bmiLow_effect","pastInt_bmiHigh_effect","pastInt_bmiLow_se","pastInt_bmiHigh_se","pastInt_bmiLow_pvalue","pastInt_bmiHigh_pvalue","freshInt_pvalue_correct","pastInt_pvalue_correct","freshInt_ageLow_pvalue_correct","pastInt_ageLow_pvalue_correct","freshInt_ageHigh_pvalue_correct","pastInt_ageHigh_pvalue_correct","freshInt_sexM_pvalue_correct","pastInt_sexM_pvalue_correct","freshInt_sexW_pvalue_correct","pastInt_sexW_pvalue_correct","freshInt_bmiLow_pvalue_correct","pastInt_bmiLow_pvalue_correct","freshInt_bmiHigh_pvalue_correct","pastInt_bmiHigh_pvalue_correct"
NA,"K00003",0,1,53.2414,194.2078,197.5625,248.466,198.607,1,196.048,1,194.985,1,"Gaussian",0.4833,NA,-2.6504,2.9109,0.3633,-3.7757,2.9223,0.1974,4.2762,-3.9392,0.0715,1.2181,-0.3362,-5.4444,3.9499,4.3365,0.9322,0.2104,-4.6378,-1.1353,4.4394,3.862,0.2971,0.769,-7.1213,4.9448,3.6536,4.7583,0.0523,0.2996,-2.0794,-5.8683,3.9499,4.3744,0.599,0.1809,-7.6452,-0.8076,4.4394,3.8888,0.0862,0.8356,-5.839,-0.2335,3.6536,4.8091,0.1111,0.9613,0.6955,0.5868,0.9891,0.8941,0.766,0.7617,0.8427,0.6975,0.9531,0.968,0.5434,0.6151,0.764,0.9917
NA,"K00005",0,0.9942,6.2805,34.03,31.6354,81.7872,31.876,1,31.7015,1,31.0494,0.9765,"Gaussian",0.7267,NA,-0.0439,1.0534,0.9668,-0.5992,1.0576,0.5715,1.4246,-2.7774,-0.1163,1.0979,0.2574,-0.4146,1.4302,1.5698,0.8573,0.7919,-0.438,0.2641,1.5951,1.3872,0.7838,0.8492,-1.0012,1.5823,1.3291,1.7309,0.4519,0.3615,0.1993,-1.5789,1.4302,1.5835,0.8893,0.3197,-3.2757,1.4534,1.5951,1.3968,0.041,0.2991,-1.2116,0.4565,1.3291,1.7494,0.3628,0.7943,0.9869,0.8033,0.9721,0.9798,0.9548,0.7909,0.955,0.5777,0.9693,0.8429,0.8442,0.7947,0.7941,0.9621
NA,"K00008",0,0.7018,2.2753,15.1554,13.2774,73.5507,13.415,0.6842,13.5326,0.7442,13.1593,0.6941,"Gaussian",0.6964,NA,0.5104,0.708,0.4716,0.1041,0.7108,0.8836,0.4277,-1.7522,-0.0495,0.2024,0.8551,0.0871,0.9601,1.0538,0.3739,0.9342,1.599,-0.3087,1.0737,0.9338,0.1376,0.7412,-0.6819,2.5325,0.8869,1.155,0.4427,0.0292,0.8358,-0.7928,0.9601,1.0631,0.3848,0.4565,-0.7072,0.7265,1.0737,0.9402,0.5107,0.4404,-0.1889,0.6042,0.8869,1.1674,0.8315,0.6052,0.7542,0.9539,0.8105,0.8125,0.9899,0.8437,0.7734,0.8918,0.9469,0.8817,0.8403,0.9672,0.4652,0.9057
NA,"K00009",0,0.9766,5.2603,31.6988,28.6944,115.481,27.5855,0.9708,28.3442,1,31.7631,0.9647,"Gaussian",0.6133,NA,0.8711,1.4752,0.5553,5.4678,1.481,0.0003,0.6309,-5.3788,-0.1301,-0.597,1.0875,0.5791,1.9893,2.1838,0.5851,0.7911,0.969,0.7975,2.2563,1.9625,0.6679,0.6848,2.6018,-2.0721,1.8531,2.4133,0.1615,0.3913,8.1256,2.2125,1.9893,2.2028,0.0001,0.3161,5.3247,5.5778,2.2563,1.9761,0.019,0.0051,7.3021,2.2959,1.8531,2.4391,0.0001,0.3474,0.7934,0.0552,0.8873,0.093,0.9546,0.7909,0.9324,0.4766,0.9344,0.4072,0.6656,0.0543,0.81,0.786
NA,"K00010",0,0.9883,3.8333,34.7802,31.5682,111.908,31.6634,0.9825,30.0142,0.9884,33.0006,1,"log-Gaussian",0.5907,NA,-0.0595,0.0423,0.1608,0.0093,0.0425,0.8264,0.02,-0.0238,-0.0019,-0.007,-0.0395,-0.0844,0.0574,0.063,0.4921,0.1815,-0.0826,-0.0421,0.0647,0.0563,0.2032,0.4552,-0.079,-0.0266,0.0535,0.0697,0.1415,0.7031,0.059,-0.0515,0.0574,0.0635,0.3043,0.4181,-0.0049,0.0203,0.0647,0.0567,0.9394,0.721,0.0049,0.0169,0.0535,0.0705,0.9272,0.8109,0.5545,0.9283,0.8563,0.787,0.7619,0.8259,0.8127,0.9891,0.8829,0.9417,0.6483,0.9871,0.9367,0.9642
NA,"K00012",0,1,19.646,102.8217,102.82,228.416,102.402,1,103.8945,1,103.006,1,"Gaussian",0.6686,NA,-1.6873,2.0419,0.4094,-4.864,2.05,0.0184,-2.4352,0.1853,-0.06,0.4251,-4.0502,1.1504,2.7661,3.0363,0.1443,0.7051,2.2359,-4.6507,3.1051,2.7005,0.4721,0.0862,1.1258,-6.4569,2.5673,3.3434,0.6614,0.0545,-4.8901,-4.8215,2.7661,3.0628,0.0782,0.1166,-4.527,-5.1228,3.1051,2.7192,0.1461,0.0607,-4.3426,-5.7489,2.5673,3.3792,0.0919,0.0901,0.7226,0.2744,0.7486,0.7231,0.932,0.7451,0.8861,0.7813,0.6975,0.6432,0.9245,0.6015,0.545,0.6015
NA,"K00013",0,1,35.6607,122.9215,124.0125,161.198,124.078,1,124.615,1,123.419,1,"Gaussian",0.5843,NA,-0.7404,1.5787,0.6394,-3.7897,1.5849,0.0175,1.3398,0.2327,-0.1514,0.6704,0.837,-2.627,2.1383,2.3474,0.6958,0.2641,-0.4507,-0.9571,2.4139,2.0997,0.852,0.6489,-1.2255,0.0846,1.9972,2.6011,0.54,0.9741,-4.3837,-3.0697,2.1383,2.3679,0.0413,0.1959,-4.2923,-3.4044,2.4139,2.1142,0.0765,0.1085,-3.9472,-3.522,1.9972,2.6289,0.0491,0.1815,0.8376,0.2719,0.9284,0.713,0.7713,0.766,0.97,0.6806,0.9278,0.7369,0.8846,0.53,0.9957,0.6797
NA,"K00014",0,1,42.7522,193.4575,195.409,251.827,194.939,1,197.439,1,194.682,1,"Gaussian",0.4636,NA,-1.3718,2.8138,0.6263,-4.7883,2.8249,0.0912,2.2318,-2.3766,0.1118,1.1359,-0.1931,-2.7938,3.8235,4.1978,0.9598,0.5062,-0.7632,-1.8183,4.2864,3.729,0.8588,0.6262,-5.07,4.9127,3.5341,4.6027,0.1525,0.2867,-4.3238,-5.3613,3.8235,4.2344,0.2591,0.2065,-8.8723,-1.6536,4.2864,3.7548,0.0394,0.66,-7.9246,0.6298,3.5341,4.6518,0.0257,0.8924,0.8304,0.4682,0.9955,0.7713,0.8609,0.766,0.9711,0.5716,0.92,0.9291,0.6559,0.4571,0.7576,0.9797
NA,"K00016",0,1,21.5485,137.5494,137.6875,232.58,137.571,1,138.482,1,138.226,1,"Gaussian",0.5699,NA,-0.5522,2.7404,0.8405,0.7349,2.7512,0.7896,4.8049,-2.8894,-0.0158,1.4852,1.7785,-3.3558,3.7188,4.0824,0.6329,0.4118,-3.147,1.4217,4.1774,3.6336,0.4519,0.6959,-4.3378,5.8705,3.445,4.4866,0.2091,0.1918,1.4431,-0.1465,3.7188,4.1181,0.6983,0.9717,-3.0723,3.6547,4.1774,3.6588,0.4627,0.3188,-0.1734,2.2815,3.445,4.5345,0.9599,0.6153,0.9332,0.9113,0.9041,0.9298,0.824,0.9966,0.8823,0.8857,0.9357,0.8512,0.6998,0.9917,0.6889,0.9094
NA,"K00018",0,1,26.9845,90.5372,90.0179,134.474,90.6949,1,90.132,1,85.1625,1,"Gaussian",0.5519,NA,-1.7045,1.6581,0.3049,-3.2887,1.6646,0.0492,0.7359,3.6026,0.0377,0.262,-1.5058,-1.9265,2.2492,2.4691,0.5038,0.4359,-2.1061,-1.4005,2.5358,2.2057,0.407,0.526,-2.137,-0.9622,2.093,2.7259,0.3082,0.7244,-4.7412,-1.5102,2.2492,2.4907,0.036,0.5448,-3.513,-3.1166,2.5358,2.221,0.1671,0.1617,-4.7193,-0.8097,2.093,2.755,0.025,0.769,0.6627,0.3754,0.859,0.7064,0.8344,0.8751,0.8767,0.796,0.8958,0.7915,0.7678,0.4534,0.9447,0.9571
