"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","ZIhurdle_freshInt_effect","ZIhurdle_freshInt_se","ZIhurdle_freshInt_pvalue","ZIhurdle_pastInt_effect","ZIhurdle_pastInt_se","ZIhurdle_pastInt_pvalue","ZIhurdle_phaseEffect","ZIhurdle_genderEffect","ZIhurdle_ageEffect","ZIhurdle_bmiEffect","logit_enoughObservationsAbove10TPMforEstimation","logit_modelDeviance","logit_tpmThreshold","logit_freshInt_effect","logit_freshInt_se","logit_freshInt_pvalue","logit_pastInt_effect","logit_pastInt_se","logit_pastInt_pvalue","logit_phaseEffect","logit_genderEffect","logit_ageEffect","logit_bmiEffect","freshInt_pvalue_correct","pastInt_pvalue_correct","ZIhurdle_freshInt_pvalue_correct","ZIhurdle_pastInt_pvalue_correct","logit_freshInt_pvalue_correct","logit_pastInt_pvalue_correct"
NA,"K00003",0,1,53.2414,194.6835,197.9515,248.466,"Gaussian",0.5017,NA,-2.2552,2.9121,0.4394,-3.7736,2.9071,0.1954,3.9208,-4.1225,0.0527,1.1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3972,197.9515,-0.3513,0.316,0.2663,-0.3416,0.3162,0.2801,0.0532,-0.3908,0.0054,0.0352,0.7773,0.6558,NA,NA,0.9994,NA
NA,"K00005",0,0.994,6.2805,34.1216,31.6779,81.7872,"Gaussian",0.7354,NA,-0.0817,1.0697,0.9392,-0.7241,1.0676,0.4983,1.3987,-3.0128,-0.1186,1.1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6408,31.6779,-0.1321,0.4089,0.7466,-0.1735,0.409,0.6714,0.5144,-0.4098,-0.0264,0.1408,0.9788,0.8017,NA,NA,0.9994,NA
NA,"K00008",0,0.7078,2.2753,15.2726,13.4084,73.5507,"Gaussian",0.7012,NA,0.6384,0.7245,0.3791,0.069,0.7231,0.924,0.3944,-1.6845,-0.051,0.1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.54,13.4084,0.0781,0.3622,0.8293,-0.2844,0.36,0.4294,0.1631,-0.5776,-0.0145,-0.0364,0.7536,0.9717,NA,NA,0.9997,NA
NA,"K00009",0,0.9759,5.2603,31.699,28.7466,115.481,"Gaussian",0.6584,NA,0.4881,1.4308,0.7333,5.0511,1.4281,5e-04,1.0705,-5.4399,-0.1472,-0.6673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4438,28.7466,-0.0028,0.3286,0.9932,0.4272,0.3298,0.1951,0.3768,-0.8559,-0.0184,-0.1392,0.9023,0.08,NA,NA,0.9997,NA
NA,"K00010",0,0.988,3.8333,34.9331,31.6214,111.908,"log-Gaussian",0.6106,NA,-0.0612,0.0426,0.152,-8e-04,0.0425,0.9844,0.0242,-0.0267,-0.0022,-0.0078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4348,31.6214,-0.3449,0.3269,0.2914,0.0663,0.3251,0.8384,0.2508,0.2837,-0.0227,-0.0088,0.6051,0.9913,NA,NA,0.9994,NA
NA,"K00012",0,1,19.646,102.4731,102.248,228.416,"Gaussian",0.6796,NA,-2.0387,2.0571,0.3226,-5.0066,2.053,0.0154,-1.4619,-0.3745,-0.0566,0.4836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5687,102.248,0.1271,0.3727,0.7331,0.0557,0.3718,0.8809,-0.665,-0.4975,-0.0157,0.0578,0.7302,0.2834,NA,NA,0.9994,NA
NA,"K00013",0,1,35.6607,122.9913,124.0125,161.198,"Gaussian",0.5934,NA,-0.5244,1.6091,0.7447,-3.973,1.6061,0.014,1.3106,0.2752,-0.1496,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5152,124.0125,0.0351,0.3513,0.9205,-0.1429,0.3524,0.6852,-0.0639,0.0191,-0.0218,0.1782,0.9047,0.2783,NA,NA,0.9997,NA
NA,"K00014",0,1,42.7522,193.6769,195.8585,251.827,"Gaussian",0.4835,NA,-0.9211,2.8336,0.7454,-4.7729,2.8288,0.0927,2.4068,-2.9829,0.108,1.1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.412,195.8585,0.2398,0.3211,0.4552,0.1135,0.3195,0.7225,-0.1842,-0.5208,-0.0023,0.0752,0.9047,0.5109,NA,NA,0.9994,NA
NA,"K00016",0,1,21.5485,137.7511,137.826,232.58,"Gaussian",0.5856,NA,-0.8184,2.7661,0.7676,0.6,2.761,0.8281,4.6127,-2.9838,-0.043,1.3955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4242,137.826,0.0316,0.3204,0.9215,0.1663,0.3254,0.6093,0.5911,-0.1276,0.003,0.1178,0.9152,0.9352,NA,NA,0.9997,NA
NA,"K00018",0,1,26.9845,90.4264,89.9561,134.474,"Gaussian",0.5535,NA,-1.1253,1.6831,0.5043,-3.2617,1.6801,0.0533,0.4944,3.7236,0.064,0.3557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3353,89.9561,-0.1982,0.3029,0.5128,-0.5387,0.304,0.0764,0.1748,0.5488,0.0132,0.0717,0.8053,0.4237,NA,NA,0.9994,NA
